Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0, +7,32:33,13,7,8,4,6,6,1,0,2,3,22
2020-12-26,CLE,DET,1, +9,43:59,14,9,3,3,5,12,2,1,2,3,21
2020-12-27,CLE,PHI,0, +24,28:56,15,7,3,0,0,7,2,0,2,2,14
2020-12-29,CLE,NYK,0, -9,37:02,18,6,8,3,5,6,2,0,1,4,17
2020-12-31,CLE,IND,1, -20,38:11,14,8,7,5,2,5,0,0,6,3,21
2021-01-02,CLE,ATL,1, +5,34:20,14,3,3,0,2,2,1,1,5,4,8
2021-01-22,CLE,BRK,0, +12,22:08,13,4,4,1,0,3,0,0,2,1,11
2021-01-24,CLE,BOS,1, -38,23:07,9,1,6,0,2,5,0,1,2,1,4
2021-01-25,CLE,LAL,0, -7,25:38,10,5,0,0,2,5,0,0,2,2,11
2021-01-27,CLE,DET,0, +15,31:18,11,6,2,2,2,4,2,0,3,1,14
2021-01-29,CLE,NYK,1, -21,29:06,17,9,6,4,3,1,2,0,4,2,24
2021-01-31,CLE,MIN,1, -5,31:19,14,6,3,1,2,5,1,0,4,3,17
2021-02-01,CLE,MIN,0, +2,38:24,18,9,4,1,3,11,0,0,2,2,19
2021-02-03,CLE,LAC,0, -22,34:41,18,11,1,1,4,2,0,0,2,0,23
2021-02-05,CLE,MIL,0, -18,29:31,14,6,3,1,0,4,1,0,1,3,13
2021-02-06,CLE,MIL,0, -25,34:24,12,7,5,1,1,9,1,0,3,2,17
2021-02-08,CLE,PHO,1, -6,37:07,18,6,3,1,2,7,1,0,1,3,17
2021-02-10,CLE,DEN,1, -38,26:24,6,3,3,1,1,5,1,0,1,3,7
2021-02-12,CLE,POR,1, -19,32:46,16,7,6,3,2,4,0,0,2,2,17
2021-02-14,CLE,LAC,1, -17,28:26,15,9,4,2,1,6,2,0,1,3,20
2021-02-15,CLE,GSW,1, -31,39:38,20,6,4,1,2,3,1,0,4,4,16
2021-02-19,CLE,DEN,0, -17,35:30,15,6,7,2,1,5,3,0,3,2,14
2021-02-21,CLE,OKC,0, -16,38:22,14,7,5,2,3,8,3,0,2,2,21
2021-02-23,CLE,ATL,0, +1,42:32,19,7,5,1,2,8,2,0,5,0,17
2021-02-24,CLE,HOU,0, +16,35:23,14,4,10,3,4,10,0,0,8,2,11
2021-02-27,CLE,PHI,1, +3,42:08,24,9,5,2,2,9,2,0,4,2,25
2021-03-01,CLE,HOU,1, +11,29:41,13,5,3,0,3,7,3,0,5,2,14
2021-03-03,CLE,IND,0, -3,19:24,9,6,4,3,0,5,0,0,3,1,16
2021-03-14,CLE,ATL,1, -18,29:27,9,4,6,2,1,7,0,0,2,2,11
2021-03-16,CLE,MIA,1, -15,33:38,11,4,4,2,1,3,1,0,5,1,11
2021-03-17,CLE,BOS,0, +7,37:52,16,9,5,2,4,6,1,0,2,5,25
2021-03-19,CLE,SAS,0, -6,36:03,16,8,4,2,1,8,1,0,4,2,29
2021-03-21,CLE,TOR,0, +11,35:58,10,5,1,1,5,6,1,0,6,2,15
2021-03-22,CLE,SAC,0, -14,27:55,15,6,4,2,0,2,1,0,1,4,17
2021-03-24,CLE,CHI,1, +9,36:45,20,8,6,4,4,9,1,0,3,5,22
2021-03-26,CLE,LAL,1, -14,33:26,17,6,6,1,2,5,1,0,4,2,14
2021-03-27,CLE,SAC,1, -2,33:25,18,7,3,1,3,2,2,0,2,1,18
2021-03-29,CLE,UTA,1, -39,35:35,16,8,4,2,5,5,1,0,3,0,18
2021-04-01,CLE,PHI,0, -20,33:25,8,3,3,0,4,8,1,0,7,2,6
2021-04-03,CLE,MIA,1, -14,38:21,8,4,4,2,4,8,2,0,3,3,12
2021-04-05,CLE,SAS,1, +24,29:59,22,14,10,5,1,7,2,1,1,2,37
2021-04-08,CLE,OKC,1, +27,31:55,15,8,7,3,3,5,0,0,3,1,21
2021-04-10,CLE,TOR,0, -20,35:36,17,7,7,3,2,8,2,0,3,0,19
2021-04-14,CLE,CHO,1, +13,35:41,13,7,7,3,4,7,1,1,3,1,17
2021-04-15,CLE,GSW,0, -18,34:46,20,7,7,2,4,7,1,0,1,5,20
2021-04-17,CLE,CHI,1, -10,40:09,21,9,8,4,2,12,1,0,2,0,22
2021-04-19,CLE,DET,1, -4,36:27,19,9,8,2,1,6,2,1,3,1,23
2021-04-21,CLE,CHI,0, +16,29:27,13,8,4,4,2,4,2,0,3,2,25
2021-04-23,CLE,CHO,1, -6,37:26,20,12,5,2,4,6,2,0,2,3,27
2021-04-25,CLE,WAS,1, -9,39:41,20,9,8,4,4,9,1,0,6,2,28
2021-04-26,CLE,TOR,1, -16,33:45,13,5,5,1,2,10,1,0,3,1,13
2021-04-28,CLE,ORL,0, -5,38:58,24,10,9,2,2,10,4,0,6,1,25
2021-04-30,CLE,WAS,0, -29,20:19,11,5,4,0,2,3,0,0,3,0,12
2021-05-14,CLE,WAS,1, -15,11:58,3,1,2,1,0,2,1,0,1,0,3
