Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-04-14,MIA,DEN,1,-17,6.23,4,1,2,0,1,2,1,5,1,0,2,0,1,3,1
2021-04-18,MIA,BRK,0,2,15.35,1,1,0,0,8,8,5,10,0,0,0,2,2,10,-7
2021-04-19,MIA,HOU,0,22,19.03,8,6,1,0,0,0,1,6,1,1,2,1,0,12,23
2021-04-21,MIA,SAS,1,20,14.67,5,3,0,0,0,0,2,3,0,1,0,1,3,6,17
2021-04-23,MIA,ATL,1,-15,11.58,3,3,0,0,0,0,1,3,0,2,0,1,2,6,-9
2021-04-24,MIA,CHI,0,5,12.93,3,2,0,0,0,0,3,6,0,1,0,0,0,4,5
2021-04-26,MIA,CHI,0,-8,11.12,3,3,0,0,2,2,1,5,1,0,0,0,2,8,8
2021-04-28,MIA,SAS,0,5,15.92,8,7,0,0,4,5,2,9,0,0,1,2,4,18,11
2021-05-01,MIA,CLE,1,17,13.33,3,1,0,0,0,0,2,4,1,0,0,0,1,2,-3
2021-05-02,MIA,CHO,1,10,13.32,6,5,0,0,4,5,3,8,0,1,0,2,4,14,8
2021-05-04,MIA,DAL,0,-14,11.95,3,3,0,0,0,0,2,6,3,1,0,0,1,6,-4
2021-05-07,MIA,MIN,0,9,15.23,3,1,0,0,0,2,0,4,1,1,0,2,3,2,13
2021-05-09,MIA,BOS,1,6,14.75,3,3,0,0,0,0,0,5,2,0,1,0,3,6,9
2021-05-11,MIA,BOS,1,8,13.43,4,3,1,0,0,1,1,3,2,0,0,0,2,6,0
2021-05-13,MIA,PHI,0,12,9.02,4,2,0,0,0,0,2,3,0,1,0,2,5,4,6
2021-05-15,MIA,MIL,1,-14,12.62,4,2,1,1,1,2,2,6,0,0,0,0,3,6,-10
