Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-02-20,MEM,PHO,0,-31,21.23,14,3,4,1,7,0,1,1,2,2,9
2021-02-22,MEM,DAL,1,-10,25.6,10,1,5,1,3,2,0,0,1,3,3
2021-02-25,MEM,LAC,0,28,21.57,8,4,1,0,6,1,1,0,2,3,9
2021-02-28,MEM,HOU,1,49,20.82,12,8,3,1,3,2,0,2,3,1,20
2021-03-02,MEM,WAS,1,14,20.97,9,5,1,0,2,2,1,0,1,3,10
2021-03-04,MEM,MIL,0,-1,23.83,11,3,1,0,10,2,0,1,1,6,6
2021-03-10,MEM,WAS,0,15,21.92,13,4,1,0,6,4,0,1,1,3,9
2021-03-12,MEM,DEN,0,-1,21.63,6,3,3,0,8,5,0,1,1,1,6
2021-03-14,MEM,OKC,1,-6,23.88,9,3,2,1,4,1,2,0,2,1,7
2021-03-17,MEM,MIA,0,4,18.55,8,2,4,0,3,0,0,0,1,2,5
2021-03-19,MEM,GSW,0,-13,15.68,6,2,3,1,0,0,0,0,2,2,5
2021-03-20,MEM,GSW,0,8,20.05,9,2,5,0,8,0,0,0,1,1,4
2021-03-22,MEM,BOS,0,6,21.75,7,4,2,0,4,4,1,1,2,0,8
2021-03-24,MEM,OKC,1,9,21.77,10,4,2,0,7,3,3,0,2,2,9
2021-03-26,MEM,UTA,1,-3,18.7,7,2,1,0,4,1,0,0,2,0,4
2021-03-27,MEM,UTA,1,-16,18.72,7,0,3,0,2,1,3,0,1,2,0
2021-04-19,MEM,DEN,1,-2,17.85,6,3,0,0,1,1,0,0,2,0,6
2021-04-21,MEM,LAC,1,-12,15.88,3,1,0,0,2,3,0,1,3,2,3
2021-04-23,MEM,POR,1,2,13.67,8,2,1,1,4,2,1,0,0,3,5
2021-04-25,MEM,POR,1,7,17.6,7,3,1,0,3,2,2,0,3,2,6
2021-04-26,MEM,DEN,1,-24,20.82,6,2,2,0,4,4,0,2,0,0,6
2021-04-28,MEM,POR,0,-21,15.93,3,1,0,0,3,3,0,2,1,1,5
2021-04-30,MEM,ORL,0,17,10.72,7,1,2,0,2,0,0,0,0,1,4
2021-05-01,MEM,ORL,1,-1,14.38,5,2,1,0,7,1,0,0,0,2,4
2021-05-11,MEM,DAL,0,29,5.22,0,0,0,0,2,2,0,0,0,0,0
2021-05-14,MEM,SAC,0,1,38.35,19,9,6,4,13,4,0,0,3,4,25
