Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,GSW,BRK,1,-26,25.65,14,3,6,0,0,0,4,7,2,1,2,3,1,6,-28
2020-12-25,GSW,MIL,1,-39,19.77,10,1,5,0,1,2,1,5,1,1,0,2,3,3,-15
2020-12-27,GSW,CHI,1,1,30.3,16,3,6,0,2,2,3,11,0,4,0,3,3,8,9
2020-12-29,GSW,DET,1,10,29.02,10,6,4,1,1,3,0,5,0,2,2,2,2,14,8
2021-01-01,GSW,POR,0,-25,28.12,12,4,4,0,2,3,0,4,0,0,1,2,2,10,-20
2021-01-03,GSW,POR,0,15,32.95,13,7,5,1,2,2,2,5,0,2,1,1,3,17,10
2021-01-04,GSW,SAC,0,31,25.52,13,6,6,4,2,2,1,3,2,1,2,0,2,18,21
2021-01-06,GSW,LAC,0,-7,24.67,13,4,6,0,0,0,1,5,0,1,0,2,4,8,-11
2021-01-08,GSW,LAC,0,10,21.38,7,2,3,0,2,2,2,5,0,1,0,3,2,6,-25
2021-01-10,GSW,TOR,0,1,29.02,14,5,6,1,1,1,3,6,3,0,1,1,1,12,-4
2021-01-12,GSW,IND,0,-9,29.1,11,6,7,3,2,2,0,5,2,0,1,1,1,17,6
2021-01-14,GSW,DEN,1,-10,30.42,10,3,8,3,5,6,0,5,2,1,1,1,2,14,-7
2021-01-18,GSW,LAL,1,2,37.08,18,9,8,2,3,4,2,4,0,2,2,0,2,23,5
2021-01-20,GSW,SAS,0,22,30.62,11,4,4,2,6,8,3,9,0,1,1,0,3,16,1
2021-01-21,GSW,NYK,0,-15,31.3,11,2,4,0,3,6,0,6,3,1,1,0,3,7,-13
2021-01-23,GSW,UTA,1,-19,24.33,8,2,2,0,1,2,0,2,1,0,0,1,3,5,-29
2021-01-25,GSW,MIN,0,22,27.55,9,4,3,2,4,5,2,6,4,3,1,1,0,14,13
2021-01-27,GSW,MIN,0,12,24.37,9,7,3,2,4,4,0,9,3,2,1,4,4,20,-6
2021-01-28,GSW,PHO,1,-21,25.53,11,1,5,0,2,2,0,4,1,1,0,1,2,4,-17
2021-01-30,GSW,DET,0,27,27.05,14,8,6,2,0,2,2,6,1,0,1,1,2,18,24
2021-02-02,GSW,BOS,0,-4,26.28,11,5,3,1,1,2,0,1,2,0,0,1,4,12,-25
2021-02-04,GSW,DAL,1,31,36.2,21,14,10,7,5,6,1,8,2,1,1,2,3,40,18
2021-02-06,GSW,DAL,1,-2,32.73,16,5,6,2,2,3,2,5,1,0,0,1,3,14,-7
2021-02-08,GSW,SAS,1,-5,35.62,16,9,8,4,2,3,1,4,1,0,2,2,2,24,-7
2021-02-09,GSW,SAS,1,23,34.13,14,4,5,2,2,2,2,10,1,1,0,1,2,12,14
2021-02-11,GSW,ORL,0,6,33.98,12,6,7,3,2,2,3,10,4,0,0,1,2,17,5
2021-02-13,GSW,BRK,0,-17,31.6,15,6,5,1,4,4,3,10,2,1,1,1,2,17,-22
2021-02-15,GSW,CLE,0,31,25.02,14,6,3,1,1,1,0,3,1,2,1,1,3,14,25
2021-02-17,GSW,MIA,0,8,43.58,15,9,7,4,1,2,3,8,2,3,0,1,3,23,4
2021-02-19,GSW,ORL,1,-4,36.5,18,10,6,3,3,7,3,7,1,4,0,1,0,26,-5
2021-02-20,GSW,CHO,1,-2,36.8,19,9,9,4,3,5,2,6,1,2,1,0,1,25,-7
2021-02-23,GSW,NYK,1,8,36.53,18,8,5,1,2,2,3,8,2,0,3,0,3,19,14
2021-02-24,GSW,IND,1,4,36.1,15,7,4,1,2,2,0,5,0,0,0,0,0,17,10
2021-02-26,GSW,CHO,0,9,37.62,15,11,6,3,2,2,1,6,3,1,0,2,2,27,23
2021-02-28,GSW,LAL,1,-26,25.9,10,6,2,0,2,3,1,5,1,0,0,2,2,14,-24
2021-03-11,GSW,LAC,1,-26,32.45,14,7,5,1,0,2,1,6,0,0,1,1,2,15,-19
2021-03-14,GSW,UTA,0,12,30.2,8,2,3,0,3,4,0,7,1,1,1,0,3,7,-4
2021-03-15,GSW,LAL,0,-31,28.37,9,5,4,1,1,3,1,2,1,2,0,5,3,12,-28
2021-03-17,GSW,HOU,1,14,35.63,16,8,6,1,2,4,0,4,1,1,0,0,2,19,-1
2021-03-19,GSW,MEM,1,13,28.88,7,2,3,0,0,0,0,4,1,1,2,1,1,4,14
2021-03-20,GSW,MEM,1,-8,28.32,13,4,4,1,3,5,2,6,2,0,2,1,3,12,-19
