Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,BRK,GSW,0,26,24.93,16,7,2,1,5,3,3,1,1,3,22
2020-12-25,BRK,BOS,1,28,33.4,16,9,4,3,4,3,2,0,2,3,29
2020-12-27,BRK,CHO,1,-2,36.35,15,9,7,5,3,4,0,1,3,3,29
2020-12-30,BRK,ATL,0,4,34.98,22,11,6,2,11,9,1,1,4,1,33
2021-01-01,BRK,ATL,0,-18,37.47,21,10,7,2,8,4,1,2,5,0,28
2021-01-03,BRK,WAS,0,-1,37.62,15,8,7,2,11,7,0,0,6,1,28
2021-01-10,BRK,OKC,0,-13,37.67,21,11,7,2,11,4,0,1,4,2,36
2021-01-12,BRK,DEN,0,6,35.88,18,12,7,4,9,13,0,0,7,4,34
2021-01-13,BRK,NYK,1,7,30.35,18,10,5,3,3,6,0,2,1,1,26
2021-01-16,BRK,ORL,0,7,40.03,26,16,8,5,4,5,2,2,6,0,42
2021-01-18,BRK,MIL,0,2,35.7,21,10,4,2,9,6,0,2,3,5,30
2021-01-20,BRK,CLE,1,-12,50.15,25,12,9,3,12,8,1,4,2,2,38
2021-01-23,BRK,MIA,0,4,36.93,19,11,7,4,4,4,0,2,4,4,31
2021-01-25,BRK,MIA,0,13,37.77,21,6,12,3,13,5,1,2,1,1,20
2021-01-27,BRK,ATL,1,4,42.13,26,13,7,3,5,2,0,2,1,2,32
2021-01-31,BRK,WAS,1,-3,37.57,19,11,4,2,7,6,2,1,5,4,37
2021-02-02,BRK,LAC,0,4,38.17,13,11,1,1,9,0,0,1,5,3,28
2021-02-05,BRK,TOR,0,-6,19.1,8,3,3,1,6,5,1,1,3,4,8
2021-02-13,BRK,GSW,1,17,33.27,19,8,6,1,5,6,0,2,4,0,20
2021-04-07,BRK,NOP,0,28,18.93,5,5,2,2,7,5,0,1,6,1,17
2021-04-10,BRK,LAL,0,-25,23.83,17,8,4,1,7,5,0,1,8,0,22
2021-04-13,BRK,MIN,1,30,27.17,15,11,6,4,4,4,0,0,4,1,31
2021-04-16,BRK,CHO,0,15,30.28,12,8,5,3,3,11,0,1,4,3,25
2021-04-18,BRK,MIA,1,-2,4.05,3,3,2,2,1,0,0,1,0,0,8
2021-04-25,BRK,PHO,0,9,28.23,21,12,3,2,6,4,2,1,1,1,33
2021-04-27,BRK,TOR,1,13,32.62,7,5,5,3,10,4,2,2,3,1,17
2021-04-29,BRK,IND,1,17,36.35,24,16,4,2,3,10,1,0,2,3,42
2021-05-02,BRK,MIL,1,-3,39.87,33,16,13,7,10,2,1,0,5,3,42
2021-05-04,BRK,MIL,1,-6,40.2,22,11,8,4,9,6,1,2,3,4,32
2021-05-06,BRK,DAL,1,-4,35.87,21,7,4,0,9,3,1,1,2,4,20
2021-05-08,BRK,DEN,1,6,40.63,14,9,6,3,11,7,2,2,5,1,33
2021-05-11,BRK,CHI,1,8,31.73,13,9,2,1,4,8,1,3,2,2,21
2021-05-12,BRK,SAS,0,12,28.85,10,4,4,0,7,7,0,3,1,0,14
2021-05-15,BRK,CHI,0,14,29.68,17,4,6,1,9,6,0,0,5,1,12
2021-05-16,BRK,CLE,0,14,28.92,10,8,2,1,8,13,0,0,2,2,23
