Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-04-10,POR,DET,0,15,7.4,1,0,1,0,0,1,0,0,1,4,1
2021-04-11,POR,MIA,0,-9,4.57,1,1,0,0,1,2,1,0,0,1,3
2021-04-18,POR,CHO,1,-8,21.55,5,1,0,0,5,1,0,0,0,2,7
2021-04-20,POR,LAC,0,-1,23.98,3,2,0,0,6,3,0,2,1,3,5
2021-04-25,POR,MEM,0,-7,5.07,0,0,0,0,1,1,1,1,0,0,1
2021-04-27,POR,IND,1,21,3.47,2,1,0,0,2,0,0,0,0,0,2
2021-04-28,POR,MEM,1,21,14.73,2,1,0,0,4,2,0,1,0,2,2
2021-05-03,POR,ATL,1,-9,5.55,0,0,0,0,0,0,0,0,0,2,0
2021-05-05,POR,CLE,1,36,6.02,3,2,0,0,3,1,0,0,0,0,4
2021-05-07,POR,LAL,0,5,0.65,0,0,0,0,1,0,0,0,0,0,0
2021-05-08,POR,SAS,0,22,14.32,1,1,0,0,3,2,0,0,0,1,2
