Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,DET,CLE,0,-9,6.02,2,0,2,0,2,0,0,0,0,1,0
2020-12-28,DET,ATL,1,-8,30.25,11,3,7,2,7,1,0,0,0,1,10
2020-12-29,DET,GSW,0,-10,15.15,9,3,5,3,3,0,0,0,1,3,11
2021-01-01,DET,BOS,0,3,30.18,11,5,8,5,7,1,2,0,2,1,17
2021-01-03,DET,BOS,0,-2,19.68,6,2,3,2,3,2,1,0,0,2,6
2021-01-04,DET,MIL,1,-10,30.85,8,3,6,1,3,0,0,0,0,2,9
2021-01-06,DET,MIL,1,-15,24.13,14,6,10,6,10,3,1,0,1,1,20
2021-01-08,DET,PHO,0,5,26.7,8,4,5,2,4,0,1,0,1,1,10
2021-01-10,DET,UTA,0,-10,27.28,9,3,6,2,3,1,0,0,0,4,12
2021-01-13,DET,MIL,0,-9,19.6,8,3,6,2,2,0,0,0,2,1,10
2021-01-16,DET,MIA,1,20,11.05,3,1,3,1,1,0,0,0,0,2,5
2021-01-18,DET,MIA,1,-6,3.5,1,0,1,0,1,0,0,0,1,1,0
2021-01-20,DET,ATL,1,-8,8.02,2,0,2,0,1,1,1,0,1,1,0
2021-01-22,DET,HOU,0,-1,15.25,3,0,3,0,0,0,0,0,1,0,2
2021-01-23,DET,PHI,0,-4,19.3,9,4,5,2,3,0,1,0,0,1,10
2021-01-25,DET,PHI,0,15,8.63,2,0,2,0,3,0,0,0,1,1,0
2021-01-27,DET,CLE,1,-15,19.5,4,2,3,1,2,2,0,0,2,1,7
2021-01-30,DET,GSW,1,-27,15.45,4,1,3,0,4,1,0,0,0,1,2
2021-02-02,DET,UTA,1,-12,10.82,6,2,2,1,1,0,0,0,0,1,5
2021-02-05,DET,PHO,1,-17,25.78,13,5,8,2,4,2,1,1,1,1,14
2021-02-06,DET,LAL,1,-6,25.72,7,1,3,1,2,0,2,0,2,0,7
2021-02-09,DET,BRK,0,11,21.27,6,6,3,3,3,2,0,0,0,2,15
2021-02-11,DET,IND,0,-16,17.55,6,3,5,2,3,0,0,0,0,0,10
2021-02-12,DET,BOS,1,6,27.3,12,10,7,7,12,0,0,0,0,2,30
2021-02-14,DET,NOP,0,11,38.28,11,6,8,4,4,6,3,0,2,3,16
2021-02-17,DET,CHI,1,-3,31.82,7,3,5,1,7,3,1,0,1,1,12
2021-02-19,DET,MEM,1,-14,32.18,12,5,9,4,3,1,0,0,1,4,14
2021-02-21,DET,ORL,1,-9,29.53,10,3,10,3,8,1,1,0,1,2,11
2021-02-23,DET,ORL,1,12,32.53,10,4,7,2,8,3,3,0,0,0,10
2021-02-24,DET,NOP,1,-10,31.08,8,4,6,3,2,1,1,0,1,4,13
2021-02-26,DET,SAC,0,-3,32.12,10,6,9,5,6,2,1,0,0,2,17
2021-02-28,DET,NYK,0,-19,31.97,11,3,8,2,4,0,0,0,0,3,10
2021-03-03,DET,TOR,1,24,24.32,9,3,5,1,4,2,0,0,0,2,7
2021-03-04,DET,NYK,1,-10,35.57,12,4,8,2,3,4,1,0,1,2,14
2021-03-11,DET,CHO,1,-3,28.17,11,4,9,4,3,0,0,0,0,0,14
2021-03-13,DET,BRK,1,-5,28.65,13,4,9,2,5,2,0,2,0,0,13
2021-03-15,DET,SAS,0,-10,26.4,6,3,2,1,2,0,1,0,1,1,7
2021-03-17,DET,TOR,0,4,38.65,14,8,10,6,12,2,2,0,0,4,28
2021-03-19,DET,HOU,1,13,32.08,15,6,9,2,6,2,2,0,1,2,20
2021-03-21,DET,CHI,0,-14,35.82,9,1,6,1,4,2,0,0,3,3,3
2021-03-24,DET,IND,1,-5,30.85,12,6,10,4,3,3,0,1,1,2,16
2021-03-26,DET,BRK,0,-2,32.72,9,5,6,4,5,2,1,1,1,3,14
2021-03-27,DET,WAS,1,-14,31.75,12,3,7,1,6,2,0,0,2,2,9
2021-03-29,DET,TOR,0,14,33.4,10,6,7,5,3,4,0,0,0,1,19
2021-03-31,DET,POR,0,-23,25.17,8,0,7,0,4,2,1,0,3,6,0
2021-04-01,DET,WAS,0,29,26.08,8,3,6,1,4,1,1,0,0,2,11
2021-04-03,DET,NYK,0,-44,17.38,9,2,4,1,0,1,0,0,0,2,6
2021-04-05,DET,OKC,1,24,21.93,8,3,4,1,3,0,1,0,0,0,10
2021-04-06,DET,DEN,1,-15,23.77,15,9,12,6,0,1,0,0,0,2,25
2021-04-08,DET,SAC,1,12,34.55,11,4,7,2,6,0,2,0,2,0,12
2021-04-10,DET,POR,1,-15,28.77,14,6,8,2,6,1,1,0,0,0,14
2021-04-11,DET,LAC,1,-7,31.3,12,8,8,5,1,2,4,0,3,2,25
2021-04-14,DET,LAC,0,-2,35.32,11,6,7,4,5,0,1,1,2,0,17
2021-04-16,DET,OKC,0,6,39.22,20,8,12,2,7,2,1,1,1,2,18
2021-04-17,DET,WAS,1,-21,24.18,7,1,4,0,7,0,1,0,1,1,4
2021-04-19,DET,CLE,0,4,35.9,12,6,11,6,5,1,2,0,1,4,20
2021-04-21,DET,DAL,1,-10,26.93,8,3,5,2,3,2,0,0,0,2,11
2021-04-22,DET,SAS,1,-15,32.43,6,2,4,2,2,0,1,0,1,1,9
2021-04-24,DET,IND,1,-6,26.78,14,2,6,0,10,2,0,1,1,0,8
2021-04-26,DET,ATL,0,14,23.83,7,3,6,3,8,1,1,1,1,0,11
2021-04-29,DET,DAL,0,-10,33.93,10,5,8,4,8,3,1,0,2,0,18
2021-05-01,DET,CHO,1,-13,40.03,21,7,12,5,7,5,2,2,0,0,22
2021-05-03,DET,ORL,0,-7,30.17,17,10,10,5,9,1,2,0,2,1,26
2021-05-04,DET,CHO,0,-3,38.5,12,2,10,2,9,3,0,0,0,3,7
2021-05-06,DET,MEM,0,14,38.77,7,4,4,3,5,1,0,0,0,1,13
2021-05-08,DET,PHI,1,-14,24.0,10,6,4,1,7,0,0,1,0,2,14
2021-05-09,DET,CHI,0,-12,40.87,17,6,10,5,7,1,0,0,1,1,20
2021-05-11,DET,MIN,0,-19,35.82,16,8,8,5,4,2,0,1,4,3,21
2021-05-14,DET,DEN,0,-13,39.95,15,4,10,2,4,1,2,0,1,1,14
